,Artist,Name,Genre,Peak.position,Weeks.on.chart,Avg.rank,Date,Energy,Danceability,Tempo,Valence
121,6IX9INE,TATI,"BEEF,HARDCORE HIP-HOP,EAST COAST,RAP",46.0,5.0,56.6,2018,0.767,0.779,91.981,0.523
122,6IX9INE,TIC TOC,"TRAP,MOTOWN,RAP",53.0,3.0,68.66666666666667,2018,0.691,0.82,142.028,0.683
123,6IX9INE,WAKA,"TRAP,RAP",51.0,3.0,66.66666666666667,2018,0.809,0.772,97.407,0.654
124,"6IX9INE, FETTY WAP, A BOOGIE WIT DA HOODIE",KEKE,"HARDCORE HIP-HOP,EAST COAST,TRAP,RAP",43.0,8.0,68.625,2018,0.857,0.599,187.985,0.469
125,702,WHERE MY GIRLS AT?,"GIRL GROUP,R&;B",4.0,42.0,16.93548387096774,1999,0.725,0.705,92.186,0.76
126,800,1,"HIP-HOP,CANADA,DMV,POP,RAP",3.0,42.0,34.41463414634146,2017,0.574,0.62,100.023,0.357
127,98 DEGREES,GIVE ME JUST ONE NIGHT,"LATIN POP,POP",2.0,20.0,37.65,2000,0.79,0.543,123.631,0.655
128,98 DEGREES,I DO,POP,13.0,20.0,27.1,1999,0.589,0.68,93.865,0.696
129,98 DEGREES,MY EVERYTHING,POP,34.0,20.0,62.7,1999,0.462,0.272,93.286,0.438
130,98 DEGREES,THE HARDEST THING,"R&;B,POP",5.0,24.0,24.25,1999,0.975,0.486,120.893,0.664
131,98 DEGREES,THIS GIFT,POP,49.0,3.0,60.333333333333336,1999,0.541,0.622,86.963,0.401
132,A,FREEK,"ELECTRONIC,RAP",7.0,39.0,35.13157894736842,2012,0.751,0.843,129.985,0.514
133,A,OUT THE SPEAKERS,POP,100.0,1.0,98.0,1999,0.921,0.674,103.966,0.279
134,A BOOGIE WIT DA HOODIE,BEAST MODE,"TRAP,RAP",100.0,1.0,86.0,2017,0.478,0.611,172.076,0.138
135,A BOOGIE WIT DA HOODIE,DEMONS AND ANGELS,"CLOUD RAP,TRAP,RAP",90.0,3.0,93.0,2018,0.55,0.81,76.503,0.183
136,A BOOGIE WIT DA HOODIE,DROWNING,"TRAP,RAP",38.0,21.0,48.95238095238095,2017,0.81,0.839,129.014,0.814
137,A BOOGIE WIT DA HOODIE,LOOK BACK AT IT,"POP,RAP",27.0,29.0,42.0,2018,0.587,0.791,96.057,0.536
138,A BOOGIE WIT DA HOODIE,NO PROMISES,"TRAP,RAP",74.0,2.0,83.5,2017,0.619,0.739,112.961,0.58
139,A BOOGIE WIT DA HOODIE,SAY A',RAP,75.0,2.0,84.5,2017,0.814,0.831,161.041,0.846
140,A BOOGIE WIT DA HOODIE,STARTENDER,"MOTOWN,TRAP,RAP",59.0,9.0,77.44444444444444,2018,0.622,0.736,191.971,0.506
141,A BOOGIE WIT DA HOODIE,SWERVIN,"TRAP,RAP",38.0,20.0,48.0,2018,0.662,0.581,93.023,0.434
142,A BOOGIE WIT DA HOODIE,TIMELESS,RAP,86.0,4.0,89.75,2016,0.761,0.569,180.122,0.325
143,A BOOGIE WIT DA HOODIE,UNDEFEATED,"TRAP,RAP",100.0,1.0,84.0,2017,0.753,0.717,169.857,0.631
144,A GREAT BIG WORLD,HOLD EACH OTHER,"R&;B,RAP,POP",99.0,2.0,99.5,2015,0.796,0.61,159.944,0.51
145,"A GREAT BIG WORLD, CHRISTINA AGUILERA",SAY SOMETHING,"PIANO,ACOUSTIC,ADULT CONTEMPORARY,INDIE POP,POP,BALLAD",4.0,26.0,14.576923076923077,2013,0.146,0.453,137.905,0.0915
146,A PERFECT CIRCLE,THE OUTSIDER,"ALTERNATIVE METAL,ALTERNATIVE,ALTERNATIVE ROCK,ROCK",79.0,5.0,90.4,2003,0.843,0.328,113.329,0.422
147,A PERFECT CIRCLE,WEAK AND POWERLESS,"ALTERNATIVE ROCK,ROCK",61.0,18.0,75.83333333333333,2003,0.841,0.483,159.747,0.13
148,A ROCKET TO THE MOON,LIKE WE USED TO,ROCK,100.0,1.0,91.0,2009,0.71,0.363,170.113,0.383
149,A THOUSAND HORSES,SMOKE,COUNTRY,47.0,20.0,69.6,2015,0.751,0.874,112.003,0.728
150,A TRIBE CALLED QUEST,WE THE PEOPLE....,"CONSCIOUS HIP-HOP,BOOM BAP,POLITICS,EAST COAST,RAP",100.0,1.0,77.0,2016,0.805,0.71,92.601,0.897
151,A$AP FERG,NEW LEVEL,"ATLANTA,EAST COAST,TRAP,RAP",90.0,3.0,95.66666666666667,2015,0.655,0.526,121.127,0.156
152,A$AP FERG,PLAIN JANE,"EAST COAST,TRAP,FASHION,REMIX,RAP",26.0,25.0,48.375,2017,0.844,0.797,170.142,0.52
153,A$AP FERG,WORK,"POSSE CUT,EAST COAST,WEST COAST,REMIX,TRAP,RAP",100.0,2.0,100.0,2013,0.733,0.841,130.009,0.284
154,A$AP ROCKY,ELECTRIC BODY,"CLOUD RAP,EAST COAST,R&;B,TRAP,POP,RAP",80.0,2.0,88.5,2015,0.598,0.898,119.966,0.528
155,A$AP ROCKY,EVERYDAY,"R&;B,EAST COAST,RAP",92.0,2.0,95.5,2015,0.661,0.394,149.818,0.335
156,A$AP ROCKY,PRAISE THE LORD,"EAST COAST,TRAP,UK RAP,UK,RAP",45.0,8.0,77.75,2018,0.569,0.854,80.015,0.294
157,A$AP ROCKY,WILD FOR THE NIGHT,"EAST COAST,ELECTRONIC,DUBSTEP,RAP",80.0,16.0,88.25,2013,0.848,0.757,139.995,0.686
158,A*TEENS,BOUNCING OFF THE CEILING,POP,93.0,3.0,95.33333333333333,2000,0.901,0.588,95.526,0.515
159,A*TEENS,DANCING QUEEN,POP,95.0,5.0,97.0,1999,0.879,0.631,99.995,0.728
160,AFI,LOVE LIKE WINTER,ROCK,68.0,5.0,79.6,2006,0.914,0.592,120.032,0.524
161,AFI,MISS MURDER,"POST-HARDCORE,ALTERNATIVE ROCK,POP-PUNK,EMO,ROCK",24.0,20.0,55.65,2006,0.873,0.308,143.519,0.686
162,AJR,BURN THE HOUSE DOWN,POP,100.0,1.0,100.0,2018,0.66,0.454,184.353,0.568
163,AJR,I'M READY,POP,65.0,11.0,82.63636363636364,2013,0.451,0.524,144.724,0.807
164,AJR,WEAK,"TRAP,ELECTRO-POP,ELECTRONIC,INDIE POP,POP",73.0,11.0,85.63636363636364,2016,0.224,0.489,118.283,0.296
165,ATC,AROUND THE WORLD,POP,28.0,18.0,54.666666666666664,1999,0.96,0.504,96.682,0.774
166,AWOLNATION,SAIL,"ELECTRO-POP,POP-ROCK,ALTERNATIVE ROCK,INDUSTRIAL ROCK,INDIE ROCK,ELECTRONIC ROCK,ROCK",17.0,79.0,50.40506329113924,2010,0.167,0.179,124.266,0.0399
167,AALIYAH,COME OVER,R&;B,32.0,20.0,45.85,2002,0.458,0.759,109.15,0.641
168,AALIYAH,I CARE 4 U,R&;B,16.0,20.0,34.8421052631579,2001,0.449,0.473,138.859,0.27
169,AALIYAH,I DON'T WANNA,"R&;B,RAP",35.0,20.0,52.05,2000,0.44,0.833,97.01,0.424
170,AALIYAH,MISS YOU,R&;B,3.0,30.0,17.103448275862068,2002,0.338,0.678,109.888,0.502
171,AALIYAH,MORE THAN A WOMAN,"POP,R&;B",25.0,24.0,36.083333333333336,2001,0.649,0.655,86.968,0.759
172,AALIYAH,ROCK THE BOAT,R&;B,14.0,25.0,23.92,2002,0.764,0.755,93.495,0.639
173,AALIYAH,TRY AGAIN,R&;B,1.0,32.0,17.633333333333333,2000,0.651,0.794,93.087,0.742
174,AALIYAH,WE NEED A RESOLUTION,"SOUL,SOUL POP,POP,R&;B,RAP",59.0,16.0,74.4,2001,0.512,0.728,147.17,0.824
175,AARON CARTER,THAT'S HOW I BEAT SHAQ,POP,96.0,2.0,98.0,2001,0.803,0.892,106.015,0.652
176,AARON LEWIS,COUNTRY BOY,COUNTRY,87.0,2.0,93.5,2010,0.665,0.649,169.996,0.506
177,AARON LINES,YOU CAN'T HIDE BEAUTIFUL,COUNTRY,38.0,17.0,61.529411764705884,1999,0.572,0.448,157.979,0.303
178,AARON TIPPIN,KISS THIS,POP,42.0,20.0,66.95,1999,0.876,0.505,93.841,0.443
179,AARON TIPPIN,WHERE THE STARS AND STRIPES AND THE EAGLE FLY,COUNTRY,20.0,20.0,37.95,2001,0.773,0.597,100.009,0.354
180,ACE HOOD,BODY 2 BODY,"R&;B,RAP",65.0,13.0,82.53846153846153,2011,0.82,0.603,152.057,0.561
181,ACE HOOD,BUGATTI,"GANGSTA RAP,TRAP,RAP",33.0,20.0,50.45,2013,0.592,0.6,130.205,0.0663
182,ACE HOOD,HUSTLE HARD,RAP,60.0,16.0,78.3125,2011,0.74,0.831,140.041,0.21
183,ACE HOOD,RIDE,"R&;B,RAP",100.0,1.0,90.0,2008,0.403,0.531,76.125,0.431
184,ACTION BRONSON,BABY BLUE,RAP,100.0,1.0,91.0,2015,0.487,0.828,85.027,0.761
185,ADAM LAMBERT,BETTER THAN I KNOW MYSELF,"POP,GLAM ROCK,POP-ROCK,BALLAD",100.0,1.0,76.0,2012,0.812,0.484,109.452,0.308
186,ADAM LAMBERT,FOR YOUR ENTERTAINMENT,"POP-ROCK,GLAM ROCK,POP",61.0,2.0,72.5,2009,0.872,0.654,130.023,0.612
187,ADAM LAMBERT,GHOST TOWN,"HOUSE,POP-ROCK,GLAM ROCK,ROCK,ELECTRONIC,POP",64.0,17.0,76.0,2015,0.736,0.703,119.955,0.274
188,ADAM LAMBERT,IF I HAD YOU,"ELECTRONIC,ELECTRONIC POP,DANCE,POP",30.0,20.0,53.55,2010,0.923,0.63,130.976,0.777
189,ADAM LAMBERT,NO BOUNDARIES,"POP,AMERICAN IDOL",72.0,2.0,83.5,2009,0.789,0.449,141.922,0.251
190,ADAM LAMBERT,ONE,"BALLAD,GLAM ROCK,POP-ROCK,POP",100.0,1.0,82.0,2015,0.407,0.694,147.682,0.719
191,ADAM LAMBERT,TIME FOR MIRACLES,"POP-ROCK,GLAM ROCK,POP",100.0,1.0,50.0,2009,0.7,0.26,147.872,0.202
192,ADAM LAMBERT,WHATAYA WANT FROM ME,"BALLAD,POP-ROCK,GLAM ROCK,POP",10.0,30.0,35.833333333333336,2009,0.683,0.44,185.948,0.445
193,"ADAM LEVINE, JAVIER COLON",MAN IN THE MIRROR,POP,100.0,1.0,45.0,1999,0.626,0.76,129.988,0.666
194,"ADAM LEVINE, TONY LUCCA",YESTERDAY,POP,100.0,1.0,68.0,1999,0.773,0.408,178.11,0.64
